F25,F25_rec,probability,reconstruction_log_probability,percentile
172.48082192289948,117.6631471629529,0.3762679231186125,-0.975400447845459,50p-75p
243.29444344305074,117.6630661732982,0.3411826988042481,-1.0766878128051758,0p-25p
243.29444344305074,117.6630661732982,0.34278036935272416,-1.0760180950164795,0p-25p
243.29444344305074,117.6630661732982,0.3432853941821866,-1.0688061714172363,0p-25p
243.29444344305074,117.6630661732982,0.34345530679412317,-1.0744847059249878,0p-25p
243.29444344305074,117.6630661732982,0.341643825569563,-1.072788953781128,0p-25p
243.29444344305074,117.6630661732982,0.34080238232280124,-1.0785542726516724,0p-25p
243.29444344305074,117.6630661732982,0.341019967692034,-1.0754802227020264,0p-25p
243.29444344305074,117.6630661732982,0.33982200765081355,-1.0705008506774902,0p-25p
219.88915105760447,117.6631471629529,0.35566117388099333,-1.0376695394515991,25p-50p
219.88915105760447,117.6631471629529,0.35529491568067645,-1.0375521183013916,25p-50p
219.88915105760447,117.6631471629529,0.3561724807567418,-1.0332757234573364,25p-50p
219.88915105760447,117.6631471629529,0.35592074502501053,-1.0320382118225098,25p-50p
219.88915105760447,117.6631471629529,0.3569373943389733,-1.0340168476104736,25p-50p
219.88915105760447,117.6631471629529,0.35567236715971245,-1.0297229290008545,25p-50p
219.88915105760447,117.6631471629529,0.3559880863116675,-1.0299293994903564,25p-50p
219.88915105760447,117.6631471629529,0.35629155588459027,-1.0308985710144043,25p-50p
219.88915105760447,117.6631471629529,0.35480094055385736,-1.0390836000442505,25p-50p
219.88915105760447,117.6631471629529,0.35674273747801316,-1.0385510921478271,25p-50p
219.88915105760447,117.6631471629529,0.35805519155018084,-1.0363246202468872,25p-50p
219.88915105760447,117.6631471629529,0.3535926304765422,-1.0359784364700317,25p-50p
219.88915105760447,117.6631471629529,0.354401852715654,-1.033862829208374,25p-50p
219.88915105760447,117.6631471629529,0.3556088584540286,-1.0328832864761353,25p-50p
219.88915105760447,117.6631471629529,0.353965277589008,-1.0373891592025757,25p-50p
219.88915105760447,117.6631471629529,0.35442855445312454,-1.039583444595337,25p-50p
219.88915105760447,117.6631471629529,0.3545846646676624,-1.0289522409439087,25p-50p
219.88915105760447,117.6631471629529,0.35679764412228765,-1.0340137481689453,25p-50p
219.88915105760447,117.6631471629529,0.3563079084661942,-1.0325030088424683,25p-50p
219.88915105760447,117.6631471629529,0.35316058858640936,-1.0352879762649536,25p-50p
219.88915105760447,117.6631471629529,0.3555729967324547,-1.0309902429580688,25p-50p
219.88915105760447,117.6631471629529,0.3545710117896481,-1.0286844968795776,25p-50p
219.88915105760447,117.6631471629529,0.35623052703268493,-1.0360233783721924,25p-50p
219.88915105760447,117.6631471629529,0.35517511513104316,-1.0330066680908203,25p-50p
216.90816638083137,117.66317661373643,0.358599734532728,-1.0304158926010132,25p-50p
216.90816638083137,117.66317661373643,0.3568040667527371,-1.0278441905975342,25p-50p
216.90816638083137,117.66317661373643,0.3561497234231466,-1.0274264812469482,25p-50p
