F24,F24_rec,probability,reconstruction_log_probability,percentile
7.821631744769263E-4,0.15677266986303454,0.38183349557688245,-0.953914999961853,75p-100p
7.821631744769263E-4,0.15677266986303454,0.3841617836530331,-0.9581088423728943,50p-75p
7.821631744769263E-4,0.15677266986303454,0.38022811095603437,-0.9681703448295593,0p-25p
7.821631744769263E-4,0.15677266986303454,0.38129582778538473,-0.9630880355834961,25p-50p
7.821631744769263E-4,0.15677266986303454,0.3833735800480573,-0.9689720273017883,0p-25p
7.821631744769263E-4,0.15677266986303454,0.3853811463966082,-0.955451250076294,75p-100p
7.821631744769263E-4,0.15677266986303454,0.382302619953724,-0.9644042253494263,0p-25p
7.821631744769263E-4,0.15677266986303454,0.38513452210575105,-0.9567411541938782,50p-75p
9.269227047716733E-4,0.1567726400772277,0.3828010002410548,-0.956987738609314,50p-75p
9.269227047716733E-4,0.1567726400772277,0.38016640363049614,-0.9597851037979126,50p-75p
9.269227047716733E-4,0.1567726400772277,0.3832278193667462,-0.9685431718826294,0p-25p
9.269227047716733E-4,0.1567726400772277,0.38334289259007254,-0.9635449647903442,0p-25p
9.269227047716733E-4,0.1567726400772277,0.38213025229113373,-0.9611855149269104,25p-50p
9.269227047716733E-4,0.1567726400772277,0.38375210825531175,-0.9602383971214294,25p-50p
9.269227047716733E-4,0.1567726400772277,0.3805790336401633,-0.9626972079277039,25p-50p
9.269227047716733E-4,0.1567726400772277,0.38584393519165955,-0.9614048600196838,25p-50p
0.001374679713010901,0.15677262518432428,0.37881717608710197,-0.9601886868476868,25p-50p
0.001374679713010901,0.15677262518432428,0.38667803327801525,-0.9586614370346069,50p-75p
0.001374679713010901,0.15677262518432428,0.38190136909536304,-0.9547085762023926,75p-100p
0.001374679713010901,0.15677262518432428,0.38065569153524176,-0.9619084000587463,25p-50p
0.001374679713010901,0.15677262518432428,0.38546090824756646,-0.9602988362312317,25p-50p
0.001374679713010901,0.15677262518432428,0.38215107079669297,-0.9636614322662354,0p-25p
0.001374679713010901,0.15677262518432428,0.38118841237810236,-0.9572252631187439,50p-75p
0.001374679713010901,0.15677262518432428,0.38399855683562634,-0.9649496078491211,0p-25p
9.722870071098239E-4,0.1567726549701311,0.38499681189343854,-0.9608999490737915,25p-50p
9.722870071098239E-4,0.1567726549701311,0.3806770877195267,-0.9627158641815186,25p-50p
9.722870071098239E-4,0.1567726549701311,0.3838322421693583,-0.9479566216468811,75p-100p
9.722870071098239E-4,0.1567726549701311,0.3850332085045164,-0.9573032259941101,50p-75p
9.722870071098239E-4,0.1567726549701311,0.37804221410945377,-0.9659887552261353,0p-25p
9.722870071098239E-4,0.1567726549701311,0.3810447998052416,-0.97071772813797,0p-25p
9.722870071098239E-4,0.1567726549701311,0.3862934645533798,-0.9639123678207397,0p-25p
9.722870071098239E-4,0.1567726549701311,0.38114647245803496,-0.9664642214775085,0p-25p
8.067290929285651E-4,0.15677266986303454,0.380958049689117,-0.9627767205238342,25p-50p
8.067290929285651E-4,0.15677266986303454,0.3826164346866156,-0.9593271017074585,50p-75p
8.067290929285651E-4,0.15677266986303454,0.3821095487972102,-0.9564250111579895,75p-100p
8.067290929285651E-4,0.15677266986303454,0.3828999463142824,-0.9632517695426941,25p-50p
8.067290929285651E-4,0.15677266986303454,0.38385855298320487,-0.9617695212364197,25p-50p
8.067290929285651E-4,0.15677266986303454,0.38436331447266986,-0.9621931314468384,25p-50p
8.067290929285651E-4,0.15677266986303454,0.3839025990339922,-0.9549108743667603,75p-100p
